"claps","leg","attempt"
4,"right",1
2,"right",2
5,"right",3
2,"right",4
1,"right",5
1,"right",11
2,"right",12
1,"right",13
4,"right",14
4,"right",15
2,"right",21
3,"right",22
2,"right",23
12,"right",24
2,"right",25
2,"right",31
5,"right",32
1,"right",33
4,"right",34
1,"right",35
8,"right",41
7,"right",42
3,"right",43
1,"right",44
14,"right",45
4,"left",6
2,"left",7
2,"left",8
2,"left",9
0,"left",10
2,"left",16
2,"left",17
6,"left",18
3,"left",19
1,"left",20
5,"left",26
2,"left",27
1,"left",28
4,"left",29
4,"left",30
2,"left",36
13,"left",37
0,"left",38
2,"left",39
4,"left",40
9,"left",46
1,"left",47
16,"left",48
3,"left",49
6,"left",50
